,genre
239,http://fr.dbpedia.org/resource/J-Rap
240,http://fr.dbpedia.org/resource/Digital_hardcore
241,http://fr.dbpedia.org/resource/Reggaeton
242,http://fr.dbpedia.org/resource/Symbolisme_(art)
243,Téléfilm dramatique
244,http://fr.dbpedia.org/resource/Comédie_sentimentale
245,http://fr.dbpedia.org/resource/Musique_classique
246,http://fr.dbpedia.org/resource/Mafia
247,http://fr.dbpedia.org/resource/Bande_originale_de_film
248,http://fr.dbpedia.org/resource/Guerre
249,http://fr.dbpedia.org/resource/Religion
250,http://fr.dbpedia.org/resource/Romance
251,http://fr.dbpedia.org/resource/Horreur
252,policier
253,http://fr.dbpedia.org/resource/Film_d’horreur
254,chronique familiale
255,http://fr.dbpedia.org/resource/Aventure_(cinéma)
256,Guerre
257,Drame psychologique
258,horreur
259,http://fr.dbpedia.org/resource/Drama_(Japon)
260,http://fr.dbpedia.org/resource/Lesbianisme
261,http://fr.dbpedia.org/resource/Western_spaghetti
262,Film documentaire
263,Comédie policière d'action
264,"Animation, Comédie"
265,http://fr.dbpedia.org/resource/Comédie_(cinéma)
266,Aventure biographique
267,http://fr.dbpedia.org/resource/Arts_martiaux
268,http://fr.dbpedia.org/resource/Drame_(cinéma)Drame
269,"Film musical, film de guerre"
270,http://fr.dbpedia.org/resource/Film_Policier
271,http://fr.dbpedia.org/resource/Blaxploitation
272,Musical / Comédie dramatique
273,http://fr.dbpedia.org/resource/Film_de_pirates
274,drame de guerre
275,http://fr.dbpedia.org/resource/Musique_country
276,docu-fiction
277,http://fr.dbpedia.org/resource/Policier_(genre_cinématographique)
278,http://fr.dbpedia.org/resource/Cinéma_de_fantasy
279,"Aventures, conte"
280,http://fr.dbpedia.org/resource/Film_tibétain
281,http://fr.dbpedia.org/resource/Film_d'exploitation
282,Western
283,http://fr.dbpedia.org/resource/Film_de_zombie
284,http://fr.dbpedia.org/resource/Film_d'épouvante
285,Bande originale
286,http://fr.dbpedia.org/resource/Post-apocalyptique
287,romance
288,comédie musicale
289,http://fr.dbpedia.org/resource/Comédie_horrifique
290,"Aventure, comédie"
291,Comédie musicale
292,http://fr.dbpedia.org/resource/Comédie(cinéma)
293,"action, policier, espionnage"
294,http://fr.dbpedia.org/resource/Heroic_fantasy
295,Dramatique
296,Comédie d'action
297,Court métrage documentaire
298,"Documenteur, film musical"
299,"Drame, biographie"
300,http://fr.dbpedia.org/resource/Screwball_comedy
301,"Comédie, romance"
302,Epouvante-Horreur et Action
303,http://fr.dbpedia.org/resource/Énigme
304,http://fr.dbpedia.org/resource/Catégorie:Film_d'action
305,http://fr.dbpedia.org/resource/Catégorie:Film_d'aventure
306,http://fr.dbpedia.org/resource/Catégorie:Film_de_fantasy
307,http://fr.dbpedia.org/resource/Bande_son
308,http://fr.dbpedia.org/resource/Catégorie:Film_fantastique
309,http://fr.dbpedia.org/resource/Electronica
310,http://fr.dbpedia.org/resource/Baile_funk
311,Comédie burlesque
312,http://fr.dbpedia.org/resource/Film_à_sketches
313,Histoire
314,http://fr.dbpedia.org/resource/Humour_noir
315,"Romance, Drame"
316,"Biographie, Drame"
317,http://fr.dbpedia.org/resource/Nonnesploitation
318,http://fr.dbpedia.org/resource/Catégorie:Court_métrage
319,http://fr.dbpedia.org/resource/Super-héros
320,"fantasy, aventure"
321,http://fr.dbpedia.org/resource/Catégorie:Film_d'horreur
322,Film d'horreur
323,"Comédie, Crime, Drame, Histoire"
324,aventure
325,http://fr.dbpedia.org/resource/Série_télévisée
326,http://fr.dbpedia.org/resource/Musical
327,http://fr.dbpedia.org/resource/Anime
328,Comédie sociale
329,http://fr.dbpedia.org/resource/Psychologie
330,Film de guerre
331,"documentaire, autobiographie"
332,http://fr.dbpedia.org/resource/Espionnage
333,drame social et politique
334,http://fr.dbpedia.org/resource/Érotique
335,"Drame, science-fiction"
336,Drame familial
337,http://fr.dbpedia.org/resource/Familial
338,muet
339,Trame sonore
340,"Science-fiction, punk"
341,http://fr.dbpedia.org/resource/Docufiction
342,http://fr.dbpedia.org/resource/Science-Fiction
343,Comédie sentimentale
344,http://fr.dbpedia.org/resource/Film_expérimental
345,biographie
346,http://fr.dbpedia.org/resource/Autobiographique
347,http://fr.dbpedia.org/resource/Film_érotique
348,http://fr.dbpedia.org/resource/Poésie
349,http://fr.dbpedia.org/resource/Essai_cinématographique
350,http://fr.dbpedia.org/resource/Complot_maçonnique
351,Film de guerre dramatique
352,http://fr.dbpedia.org/resource/Tokusatsu
353,"Drame, Histoire"
354,"Western futuriste, drame dystopique policier"
355,western
356,http://fr.dbpedia.org/resource/Tragédie
357,http://fr.dbpedia.org/resource/Cinéma_d'animation
358,http://fr.dbpedia.org/resource/Cinéma_muet
359,Film de propagande
360,http://fr.dbpedia.org/resource/Comedie_romantique
361,http://fr.dbpedia.org/resource/Sport_(film)
362,http://fr.dbpedia.org/resource/Fantastique_(Cinéma)
363,"Film d'action, d'arts martiaux"
364,http://fr.dbpedia.org/resource/Film_choral
365,"Comédie dramatique, musical"
366,British Broadcasting Corporation
367,Pandora Cinema
368,ARP Sélection
369,http://fr.dbpedia.org/resource/Film_autobiographique
370,http://fr.dbpedia.org/resource/Rock_indépendant
371,http://fr.dbpedia.org/resource/Hard_rock
372,http://fr.dbpedia.org/resource/Metal_alternatif
373,comédie policière
374,burlesque
375,"Drame, film de guerre"
376,http://fr.dbpedia.org/resource/Giallo
377,webdocumentaire
378,Téléfilm
379,Comédie Burlesque
380,Téléfilm policier
381,drame • érotique
382,http://fr.dbpedia.org/resource/Film_en_fustanelle
383,http://fr.dbpedia.org/resource/Stoner_comedy
384,http://fr.dbpedia.org/resource/Animation_en_volume
385,Comédie dramatique pour la jeunesse
386,http://fr.dbpedia.org/resource/R&B_contemporain
387,Documentaire sportif
388,http://fr.dbpedia.org/resource/Film_juridique
389,"Drame, crime"
390,http://fr.dbpedia.org/resource/Film_de_Noël
391,http://fr.dbpedia.org/resource/Film_pour_enfants
392,mélodrame
393,http://fr.dbpedia.org/resource/Cinéma_de_montagne
394,Propagande
395,thriller d'horreur
396,"Fiction, Famille"
397,"fantastique, action et romance"
398,"Pornographique, comédie, parodie"
399,http://fr.dbpedia.org/resource/Drame_romantique
400,http://fr.dbpedia.org/resource/Film_de_propagande
401,http://fr.dbpedia.org/resource/Détournement_(art)
402,http://fr.dbpedia.org/resource/Gangsta_rap
403,http://fr.dbpedia.org/resource/Horrorcore
404,Documentaire romancé
405,aventures
406,http://fr.dbpedia.org/resource/Roman_policier
407,http://fr.dbpedia.org/resource/Biopic
408,action
409,"comédie, fantasy"
410,http://fr.dbpedia.org/resource/Divers
411,http://fr.dbpedia.org/resource/Western_Spaghetti
412,"aventure, animation"
413,http://fr.dbpedia.org/resource/Thriller_psychologique
414,guerre
415,http://fr.dbpedia.org/resource/Techno-thriller
416,http://fr.dbpedia.org/resource/Film_de_prison_pour_femmes
417,http://fr.dbpedia.org/resource/Cinéma_d'action
418,http://fr.dbpedia.org/resource/Drame
419,Dessin animé
420,scène à trucs
421,http://fr.dbpedia.org/resource/Merveilleux
422,http://fr.dbpedia.org/resource/Comédie_érotique
423,http://fr.dbpedia.org/resource/Western_B
424,http://fr.dbpedia.org/resource/Propagande
425,Mondo
426,http://fr.dbpedia.org/resource/Mythologie
427,http://fr.dbpedia.org/resource/Érotisme(cinéma)
428,Court métrage d'animation
429,"animation, conte"
430,"drame, science-fiction"
431,"dramatique, mondo"
432,http://fr.dbpedia.org/resource/Mélodrame
433,http://fr.dbpedia.org/resource/Stand-up
434,http://fr.dbpedia.org/resource/Film_muet
435,"animation, aventure"
436,http://fr.dbpedia.org/resource/Court_Métrage
437,http://fr.dbpedia.org/resource/Film_mythologique
438,Comedie
439,http://fr.dbpedia.org/resource/Drame_(genre)
440,Docu-Fiction
441,espionnage
442,"Comédie, Science-fiction"
443,Documenteur
444,"action, thriller"
445,http://fr.dbpedia.org/resource/Mystère
446,"Comédie, Film de poursuite"
447,http://fr.dbpedia.org/resource/Road-movie
448,http://fr.dbpedia.org/resource/Comédie_noire
449,http://fr.dbpedia.org/resource/Film_de_casse
450,http://fr.dbpedia.org/resource/Universal_Monsters
451,"Science-fiction, comédie"
452,Film de sport
453,http://fr.dbpedia.org/resource/Anticipation_(fiction)
454,Drame des colonies
455,film de poursuite
456,Comédie de science-fiction
457,Dessin-animé
458,Comédie de mœurs
459,http://fr.dbpedia.org/resource/Parodie
460,http://fr.dbpedia.org/resource/Chase_Films
461,http://fr.dbpedia.org/resource/Pornographie
462,Pornographie hétérosexuelle et lesbienne
463,http://fr.dbpedia.org/resource/Téléfilm
464,http://fr.dbpedia.org/resource/Film_à_énigme
465,http://fr.dbpedia.org/resource/Time-lapse
466,http://fr.dbpedia.org/resource/Documentaire_érotique_(cinéma)
467,http://fr.dbpedia.org/resource/Peplum
468,Dramatique / sentimental
469,Suspense
470,Social
471,http://fr.dbpedia.org/resource/Dystopie
472,http://fr.dbpedia.org/resource/Film_d'art_martial
473,http://fr.dbpedia.org/resource/Super-Héros_au_Cinéma
474,http://fr.dbpedia.org/resource/Drame_érotique_(cinéma)
475,http://fr.dbpedia.org/resource/Publicité
476,Epouvante-horreur
477,Comédie loufoque
478,Film biblique
479,Comédie érotique
480,comédie de mœurs
481,"Horreur, science-fiction"
482,"Guerre, Western"
483,"Film dramatique, Film historique, Mélodrame"
484,http://fr.dbpedia.org/resource/Wu_Xia_Pian
485,"Comédie dramatique, Film musical"
486,Film à trucs
487,Péplum
488,http://fr.dbpedia.org/resource/Slapstick
489,http://fr.dbpedia.org/resource/Documentaire_musical
490,http://fr.dbpedia.org/resource/Fanfilm
491,http://fr.dbpedia.org/resource/Remake
492,http://fr.dbpedia.org/resource/Space_opera
493,suspense
494,http://fr.dbpedia.org/resource/Film_sur_le_sport
495,"espionnage, action"
496,http://fr.dbpedia.org/resource/Chronologie_du_cinéma_de_science-fiction
497,"http://fr.dbpedia.org/resource/Film_intimiste,_psychologique"
498,Court métrage expérimental
499,comédie d'action
500,Techno-thriller
501,http://fr.dbpedia.org/resource/Musique_contemporaine
502,http://fr.dbpedia.org/resource/Musique_minimaliste
503,"science-fiction, thriller, aventure"
504,Comédie romantique et fantastique
505,http://fr.dbpedia.org/resource/Doublage
506,Chanson française
507,http://fr.dbpedia.org/resource/Fiction_préhistorique
508,http://fr.dbpedia.org/resource/Grunge
509,http://fr.dbpedia.org/resource/Heavy_metal_(musique)
510,http://fr.dbpedia.org/resource/Nouvelle_Musique
511,drame historique
512,Drame social/Burlesque
513,"Catastrophe, drame, science-fiction"
514,http://fr.dbpedia.org/resource/Film_de_comédie
515,http://fr.dbpedia.org/resource/Bande_originale
516,jidai-geki
517,http://fr.dbpedia.org/resource/Pop_rock
518,http://fr.dbpedia.org/resource/Féerie
519,"Chanson, Classical, Vocal"
520,http://fr.dbpedia.org/resource/Épopée
521,http://fr.dbpedia.org/resource/Film_satirique
522,Musique de film
523,http://fr.dbpedia.org/resource/Biographie_romancée
524,"Policier, fantastique"
525,"Fantastique, science-fiction"
526,"Policier, suspense"
527,http://fr.dbpedia.org/resource/Gangster
528,"Drame, Thriller"
529,http://fr.dbpedia.org/resource/Aamir_Khan_Productions
530,http://fr.dbpedia.org/resource/Synthétiseur
531,http://fr.dbpedia.org/resource/Electro
532,"Drame, polar, film historique"
533,http://fr.dbpedia.org/resource/Drame_(Cinéma)
534,http://fr.dbpedia.org/resource/Musique_pop
535,http://fr.dbpedia.org/resource/Science-fiction_militaire
536,Wuxiapian
537,http://fr.dbpedia.org/resource/Alternative_country
538,http://fr.dbpedia.org/resource/Rock_mexicain
539,http://fr.dbpedia.org/resource/Cinéma_gore
540,http://fr.dbpedia.org/resource/Texas_blues
541,Comédie de guerre
542,"Comédie horrifique, science-fiction"
543,http://fr.dbpedia.org/resource/Catastrophe
544,http://fr.dbpedia.org/resource/Ranchera
545,"Comédie, horreur"
546,http://fr.dbpedia.org/resource/Lounge_(musique)
547,http://fr.dbpedia.org/resource/Kung_Fu
548,"suspense, thriller"
549,drame biographique
550,http://fr.dbpedia.org/resource/Philosophie
551,"Action, aventure et drame"
552,http://fr.dbpedia.org/resource/New_jack_swing
553,"drame, épouvante-horreur et thriller"
554,http://fr.dbpedia.org/resource/Gospel
555,http://fr.dbpedia.org/resource/Bluegrass
556,http://fr.dbpedia.org/resource/Musique_folk
557,http://fr.dbpedia.org/resource/Blues
558,http://fr.dbpedia.org/resource/Science-fiction_humoristique
559,http://fr.dbpedia.org/resource/Action
560,http://fr.dbpedia.org/resource/Musique_industrielle
561,http://fr.dbpedia.org/resource/Britpop
562,"Horreur, Catastrophe, Romance"
563,Comédie romantiqe
564,http://fr.dbpedia.org/resource/Polar_(film)
565,http://fr.dbpedia.org/resource/Liste_de_films_de_pirates
566,Drame surréaliste
567,http://fr.dbpedia.org/resource/Sport_et_cinéma
568,http://fr.dbpedia.org/resource/Pré-Code
569,comédie d'aventure
570,"Horreur, Fantastique"
571,http://fr.dbpedia.org/resource/Comédie_à_l'italienne
572,drame psychologique
573,http://fr.dbpedia.org/resource/Film_de_Guerre
574,http://fr.dbpedia.org/resource/Politique
575,"Action, fantastique"
576,Hard Rock
577,Film catastrophe
578,"Comédie dramatique, aventure, historique et romance"
579,http://fr.dbpedia.org/resource/Critique_sociale
580,http://fr.dbpedia.org/resource/Musiques_du_monde
581,Musical
582,Film noir
583,http://fr.dbpedia.org/resource/Muay_Thaï
584,http://fr.dbpedia.org/resource/Renseignement
585,Guerre / Thriller
586,"Comédie, fantastique"
587,Comédie - Mystère
588,http://fr.dbpedia.org/resource/Musique_hip-hop
589,"Comédie musicale, aventure"
590,comédie satirique
591,Film documentaire musical
592,http://fr.dbpedia.org/resource/Cinéma_comique
593,http://fr.dbpedia.org/resource/Sport
594,"Animation, court métrage"
595,http://fr.dbpedia.org/resource/Musique_symphonique
596,"Documentaire, Comédie"
597,http://fr.dbpedia.org/resource/Crime
598,Giallo
599,http://fr.dbpedia.org/resource/Reconstitution_historique
600,Comédie western
601,"Action, horreur, science-fiction"
602,http://fr.dbpedia.org/resource/Blue-eyed_soul
603,http://fr.dbpedia.org/resource/Blues_rock
604,"aventure, fantasy"
605,http://fr.dbpedia.org/resource/Concert
606,Documentaire musical
607,Musique de films
608,http://fr.dbpedia.org/resource/Film_de_kung-fu
609,Biopic
610,http://fr.dbpedia.org/resource/Drama
611,"Horreur, Thriller"
612,Aventures animalières
613,Drame policier
614,http://fr.dbpedia.org/resource/Satire
615,documentaire musical
616,http://fr.dbpedia.org/resource/Quatuor
617,http://fr.dbpedia.org/resource/Film_experimental
618,"documentaire, film musical"
619,comédie sociale
620,Manifeste poétique
621,Film documentaire romancé
622,http://fr.dbpedia.org/resource/Réalisme_magique
623,http://fr.dbpedia.org/resource/Musique_électroacoustique
624,http://fr.dbpedia.org/resource/Psychotrope_au_cinéma
625,"Documentaire, Drame"
626,Thriller & Horreur
627,http://fr.dbpedia.org/resource/Pop_punk
628,http://fr.dbpedia.org/resource/Emo
629,"Aventure, action"
630,"Comédie, Romance"
631,http://fr.dbpedia.org/resource/Combats
632,Téléfilm jeunesse
633,"Action, combat, comédie"
634,comédie romantique
635,http://fr.dbpedia.org/resource/Romance_(cinéma)
636,Drame surréaliste et symbolique
637,"Fantastique, Aventure, Drame"
638,"Biographie, musical"
639,http://fr.dbpedia.org/resource/Polar_(littérature)
640,Téléfilm thriller
641,"Cinéma muet, comédie burlesque"
642,comédie métafictionnelle
643,film musical
644,"Action, Fantastique, Comédie"
645,"Comédie dramatique, thriller"
646,"Thriller, guerre"
647,Pornographique
648,"Aventure, drame"
649,Compilation
650,"Comédie, drame"
651,"Guerre, drame"
652,http://fr.dbpedia.org/resource/Tragédie_grecque
653,Essai
654,http://fr.dbpedia.org/resource/R'n'B_contemporain
655,http://fr.dbpedia.org/resource/Films_historiques
656,idylle pastorale
657,Comédie dramatique usant d'humour noir
658,Suspense fantastique
659,"Tragédie, Romance, Histoire vraie"
660,Film policier
661,"Film d'action, comédie et crime"
662,Adaptation théâtrale
663,"Fiction, drame"
664,court métrage d'animation
665,Drame néoréaliste
666,"horreur, Western"
667,"Film de guerre, Dramatique"
668,http://fr.dbpedia.org/resource/Peur
669,http://fr.dbpedia.org/resource/Art_et_Essai
670,"Comédie, science-fiction"
671,"Action, horreur, thriller"
672,Intrigue
673,"action, horreur"
674,http://fr.dbpedia.org/resource/Faux_documentaire
675,"Espionnage, comédie familiale"
676,http://fr.dbpedia.org/resource/Thriller
677,5640.0
678,"Science fiction, Anticipation, Drame"
679,Film romantique
680,"Film musical, comédie"
681,"Comédie, Burlesque, Conte"
682,drame fantastique
683,http://fr.dbpedia.org/resource/Comédie_satirique
684,érotique
685,http://fr.dbpedia.org/resource/Comédie_de_mœurs
686,"Comédie sentimentale, drame"
687,"Aventure, Fantastique, Action"
688,"Drame, Mystère"
689,porno soft
690,Muet
691,Mélodrame
692,Film d'espionnage
693,Serial dramatique
694,"Historique, Western"
695,"Film noir, drame psychologique"
696,http://fr.dbpedia.org/resource/Rape_and_revenge
697,http://fr.dbpedia.org/resource/Cinéma_grec
698,thriller
699,"Horreur, Comédie"
700,http://fr.dbpedia.org/resource/Cinéma_de_genre
701,http://fr.dbpedia.org/resource/Biographique
702,http://fr.dbpedia.org/resource/Special_(télévision)
703,mystère
704,"politique,"
705,"documentaire,"
706,Tour de magie
707,"historique, drame"
708,fantastique • érotique
709,http://fr.dbpedia.org/resource/Marionnette
710,pornographique
711,Film dramatique et historique
712,http://fr.dbpedia.org/resource/Crime_(cinéma)
713,Court métrage documentaire consacré à Pierre Avezard
714,Comedie dramatique
715,Romance musicale
716,http://fr.dbpedia.org/resource/Krautrock
717,http://fr.dbpedia.org/resource/Romantique_(cinéma)
718,Film de gangsters
719,"Science-Fiction, Comédie"
720,http://fr.dbpedia.org/resource/Films_d'action
721,"Fantastique, Comédie"
722,"Film d'horreur, Fantastique"
723,"Drame, Peplum"
724,http://fr.dbpedia.org/resource/Liste_de_films_de_Noël
725,http://fr.dbpedia.org/resource/Satirique
726,"drame, historique, aventure"
727,"Comédie, érotique"
728,http://fr.dbpedia.org/resource/Sociale
729,Politique
730,Comédie Drame
731,"Drame, historique"
732,"Western, Drame"
733,"Drame, action, catastrophe"
734,"Comédie, Horreur"
735,"Comédie horrifique, Fantastique"
736,Film érotique
737,"Fantastique, Horreur"
738,Comédie d'aventure
739,http://fr.dbpedia.org/resource/Comédie_érotique_à_l'italienne
740,Science-fiction d'anticipation
741,Avant-garde
742,Musique Classique
743,http://fr.dbpedia.org/resource/Reggae
744,comédie noire
745,http://fr.dbpedia.org/resource/Musique_moderne
746,http://fr.dbpedia.org/resource/Avant-garde_(art)
747,"Horreur, fantastique, expérimental"
748,http://fr.dbpedia.org/resource/Disco
749,http://fr.dbpedia.org/resource/New_wave_(musique)
750,http://fr.dbpedia.org/resource/Rock_psychédélique
751,http://fr.dbpedia.org/resource/Rockabilly
752,Film historique et dramatique
753,Film de mer
754,Crime
755,"drame, film musical"
756,musique de film
757,"rock, rock alternatif, nu metal"
758,drame policier
759,http://fr.dbpedia.org/resource/Rock'n'roll
760,Chronique historique dramatique
761,http://fr.dbpedia.org/resource/Genre_cinématographique
762,http://fr.dbpedia.org/resource/Sociologie
763,http://fr.dbpedia.org/resource/Road_Movie
764,http://fr.dbpedia.org/resource/Dadaïste
765,"Film d'action, drame"
766,Psychanalytique
767,Comédie dramatique sociale
768,Suspense policier
769,"Comédie, Espionnage"
770,http://fr.dbpedia.org/resource/Musique_expérimentale
